Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Swiss Security Solutions,https://www.crunchbase.com/organization/swiss-security-solutions,"Business Intelligence, Consulting, Cyber Security, Fraud Detection, Management Consulting, Physical Security, Privacy, Public Safety, Security","Zürich, Zurich, Switzerland",,2018-01-08,day,,,2019-04-01,,,,Seed,,,,Seed,,
inCyber Compliance,https://www.crunchbase.com/organization/incyber-compliance,"Cloud Security, Compliance, Cyber Security, GovTech, Privacy, Risk Management, Security","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2017-01-01,day,,,2018-03-15,50000,USD,50000,Pre-Seed,50000,USD,50000,Seed,,
siOPTICA,https://www.crunchbase.com/organization/sioptica,"Hardware, Privacy, Software","Jena, Thuringen, Germany",European Union (EU),2013-01-01,year,,,2018-02-14,4000000,EUR,4987294,Debt Financing,,,,,"bm-t beteiligungsmanagement thüringen, Constantia New Business, High-Tech Gründerfonds",3
One.Thing.Less Ltd.,https://www.crunchbase.com/organization/one-thing-less-ltd,"Mobile Apps, Privacy","Freienbach, Schwyz, Switzerland",,2018-01-08,day,,,2018-04-19,260000,CHF,267588,Seed,260000,CHF,267588,Seed,,
Private Client Resources,https://www.crunchbase.com/organization/private-client-resources,"Asset Management, Banking, Big Data, Data Integration, Finance, FinTech, Privacy, Real Estate Investment, Venture Capital, Wealth Management","Wilton, Connecticut, United States","East Coast, New England, Northeastern US",2000-01-01,year,,,2019-06-07,,,,Venture - Series Unknown,,,,,Public Pension Capital (PPC),1
Mostly AI,https://www.crunchbase.com/organization/mostly-ai,"Big Data, Machine Learning, Privacy","Vienna, Wien, Austria",European Union (EU),2017-02-01,day,,,2018-11-19,,,,Seed,,,,Seed,PUSH Ventures,1
Parachute8 Inc.,https://www.crunchbase.com/organization/parachute8-inc,"Blockchain, Identity Management, Information Technology, Privacy, Security","Salida, Colorado, United States",Western US,2017-11-09,day,,,2018-03-31,50000,USD,50000,Seed,50000,USD,50000,Seed,unknown  ,1
Winston Privacy,https://www.crunchbase.com/organization/winston-privacy,"Communication Hardware, Cyber Security, Embedded Systems, Internet of Things, Network Hardware, Privacy","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2018-01-01,month,,,2018-07-17,,,,Seed,,,,Seed,"Connetic Ventures, Founder Equity Fund, Grant Newlin, M25, New Stack Ventures",5
HOPR,https://www.crunchbase.com/organization/hopr,"Messaging, Privacy","Zug, Zug, Switzerland",,,,,,2019-04-12,15000,USD,15000,Grant,,,,,Binance Labs,1
Perseus,https://www.crunchbase.com/organization/perseus-5e69,"Commercial Insurance, Cyber Security, E-Learning, InsurTech, IT Management, Network Security, Privacy, Security, Small and Medium Businesses, Training","Berlin, Berlin, Germany",European Union (EU),2017-01-01,year,,,2017-09-04,,,,Seed,,,,Seed,finleap,1
KORK,https://www.crunchbase.com/organization/kork,"Apps, Artificial Intelligence, Blockchain, Cloud Data Services, Data Integration, Data Mining, Data Storage, Database, Developer APIs, Digital Marketing, Geospatial, Market Research, Marketing, Marketplace, Mobile Advertising, Mobile Apps, Personal Finance, Personalization, Privacy, Private Social Networking, Security","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",2017-10-22,day,,,2018-07-23,,,,Seed,,,,Seed,Stoic Capital,1
Origo Network,https://www.crunchbase.com/organization/origo-network,"Blockchain, Cyber Security, Privacy, Security","Newark, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,,2018-08-07,,,,Venture - Series Unknown,,,,,"Connect Capital, Consensus Lab, Nirvana Capital",3
Secure AI Labs,https://www.crunchbase.com/organization/secure-ai-labs,"Analytics, Artificial Intelligence, Computer, Information Technology, Machine Learning, Network Security, Privacy","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2017-01-01,year,,,2018-09-08,,,,Non-equity Assistance,,,,,MIT delta v,1
Tenta Browser,https://www.crunchbase.com/organization/tenta-browser,"Cyber Security, Internet, Privacy, Security, Web Browsers","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2016-04-08,day,,,2019-01-17,,,,Seed,,,,Seed,ConsenSys Ventures,1
Ubisecure,https://www.crunchbase.com/organization/ubisecure,"Cloud Security, Cyber Security, Enterprise Software, Identity Management, Privacy","Espoo, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",2002-01-01,year,,,2018-05-17,,,,Series A,,,,Early Stage Venture,"Base 10 Ventures, Octopus Investments",2
PacketStream,https://www.crunchbase.com/organization/packetstream-a5dd,"Business Intelligence, Peer to Peer, Privacy, SaaS, Security, Software","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2018-01-01,year,,,2019-03-25,,,,Seed,,,,Seed,"Bell Standard, Hector Sahagun, Rogelio Choy",3
