Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Armored Things,https://www.crunchbase.com/organization/armored-things,"Computer, Network Security","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2017-01-01,year,,,2018-07-18,5500000,USD,5500000,Seed,5500000,USD,5500000,Seed,"Glasswing Ventures, Inovia Capital, MassVentures",3
IoTium,https://www.crunchbase.com/organization/iotium,"Computer, Infrastructure, Network Security, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2018-09-19,13600000,USD,13600000,Series B,13600000,USD,13600000,Early Stage Venture,"GE Ventures, Honeywell Venture Capital, Juniper Networks, March Capital Partners, Pankaj Patel",9
Xage Security,https://www.crunchbase.com/organization/xage-security,"Information Technology, Internet of Things, Network Security, Security, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-01-01,year,,,2018-12-28,4000000,USD,4000000,Series A,4000000,USD,4000000,Early Stage Venture,"City Light Capital, GE Ventures, March Capital Partners, NexStar Partners, Saudi Aramco Energy Ventures",5
RiskSense,https://www.crunchbase.com/organization/risksense,"Cyber Security, Information Technology, Network Security, Risk Management, Security, Software","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-05-01,day,,,2018-08-07,12000000,USD,12000000,Series B,12000000,USD,12000000,Early Stage Venture,"CenturyLink, EPIC Ventures, Jump Capital, Paladin Capital Group, UL Ventures",8
128 Technology,https://www.crunchbase.com/organization/128-technology,"Information Technology, Internet, Network Security, Software","Burlington, Massachusetts, United States","Greater Boston Area, East Coast, New England",2014-07-07,day,,,2018-05-15,9204948,USD,9204948,Series C,9204948,USD,9204948,Late Stage Venture,"G20 Ventures, The Perkins Fund",2
Preempt Security,https://www.crunchbase.com/organization/preempt-security,"Cyber Security, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,2018-06-27,17500000,USD,17500000,Series B,17500000,USD,17500000,Early Stage Venture,"Blackstone Group, ClearSky, General Catalyst, Intel Capital, Mickey Boodaei",7
Algosec,https://www.crunchbase.com/organization/algosec,"Information Services, Information Technology, Network Security, Risk Management, Security","Ridgefield Park, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2003-01-01,year,,,2018-01-03,36000000,USD,36000000,Venture - Series Unknown,36000000,USD,36000000,,Claridge Israel,1
TTTech,https://www.crunchbase.com/organization/tttech,"Computer, Electronics, Network Security, Software","Vienna, Wien, Austria",European Union (EU),1998-01-01,year,,,2019-03-07,20000000,EUR,22396516,Venture - Series Unknown,20000000,EUR,22396516,,"Audi, Co-Investor, General Electric (GE), Infineon Technologies, Samsung Electronics",5
Ordr,https://www.crunchbase.com/organization/ordr-aec7,"Cyber Security, Network Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,year,,,2019-02-26,16500000,USD,16500000,Series A,16500000,USD,16500000,Early Stage Venture,"TenEleven Ventures, Unusual Ventures, Wing Venture Capital",3
Bishop Fox,https://www.crunchbase.com/organization/bishop-fox,"Consulting, Cyber Security, Enterprise Software, Information Services, Management Consulting, Network Security, Professional Services, Software Engineering","Phoenix, Arizona, United States","Greater Phoenix Area, Western US",2005-01-01,year,,,2019-02-26,25000000,USD,25000000,Series A,25000000,USD,25000000,Early Stage Venture,ForgePoint Capital,1
Fidelis Cybersecurity,https://www.crunchbase.com/organization/fidelis-cybersecurity-2,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security","Bethesda, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",2002-01-01,year,2015-04-14,day,2018-09-18,25000000,USD,25000000,Private Equity,25000000,USD,25000000,M&A,"Ascent Venture Partners, Inflection Point Ventures, Marlin Equity Partners, Maryland Venture Fund, PJC",6
Virsec,https://www.crunchbase.com/organization/virsec-systems-3,"Cloud Security, Computer, Cyber Security, Network Security, Software","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2018-03-20,24000000,USD,24000000,Series B,24000000,USD,24000000,Early Stage Venture,"Amity Ventures, Artiman Ventures, Boston Seed Capital, Raj Singh, Tribeca Venture Partners",6
Tempered Networks,https://www.crunchbase.com/organization/tempered-networks,"Communications Infrastructure, Network Security, Security","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2012-01-01,year,,,2019-05-08,17000000,USD,17000000,Venture - Series Unknown,17000000,USD,17000000,,"Fluid Capital Group, Ignition Partners, Rally Capital Services, Ridge Ventures (Formerly known as IDG Ventures USA), The Perkins Fund",5
Zeetta Networks,https://www.crunchbase.com/organization/zeetta-networks,"Content Delivery Network, Information Technology, Internet of Things, Network Hardware, Network Security, Smart Building, Smart Home, Software, Telecommunications, Wireless","Bristol, Bristol, City of, United Kingdom",European Union (EU),2015-05-22,day,,,2017-07-25,1600000,GBP,2084234,Seed,1600000,GBP,2084234,Seed,"Bloc Ventures, Breed Reply, IP Group Plc",3
Safe-T,https://www.crunchbase.com/organization/safe-t,"Enterprise Software, Financial Services, Health Care, Network Security, Security","Herzliya, Tel Aviv, Israel",,2013-01-01,year,2016-07-07,day,2018-05-31,3000000,USD,3000000,Undisclosed,3000000,USD,3000000,IPO,,
Protocol Labs,https://www.crunchbase.com/organization/protocol-labs,"Information Technology, Internet, Network Security, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,2017-09-16,,,,Venture - Series Unknown,,,,,"Boost VC, Haystack, StartX (Stanford-StartX Fund), Techammer, Y Combinator",11
Elevate Security,https://www.crunchbase.com/organization/elevate-security,"Computer, Network Security, Security","Berkeley, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,month,,,2019-02-13,8000000,USD,8000000,Series A,8000000,USD,8000000,Early Stage Venture,"Costanoa Ventures, Defy.vc, Webb Investment Network",3
