Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Anonyome Labs,"Privacy, Security","Salt Lake City, Utah, United States",20400000.0,Series B,20400000.0,Early Stage Venture,6.0,2014.0,2017-08,20173Q,Greg Clark, Hanna Ventures, Ken A. Eldred, Steve Shillingford, Todd Davis,Western US,,
Apiax,"Compliance, FinTech, Information Services, Information Technology, Legal, Risk Management","Zürich, Zurich, Switzerland",1500000.0,Seed,1500000.0,Seed,5.0,2017.0,2017-09,20173Q,DIventures, Peter Kurer, SICTIC, Tugboat Ventures, Zürcher Kantonal Bank,,,
GrammaTech,"Cyber Security, Developer Platform, Software","Ithaca, New York, United States",9000000.0,Grant,,,1.0,1988.0,2017-10,20174Q,United States Navy,,,,,East Coast, Northeastern US,
Citadel Defense Company,"Aerospace, Drone Management, Drones, National Security, Physical Security, Security","San Diego, California, United States",11999995.0,Series A,11999995.0,Early Stage Venture,2.0,2016.0,2017-08,20173Q,EvoNexus, Lightspeed Venture Partners,,,,Greater San Diego Area, West Coast, Western US
HIVE Blockchain,"Blockchain, Computer, Cryptocurrency","Vancouver, British Columbia, Canada",91444020.0,Post-IPO Equity,91444020.0,IPO,2.0,2013.0,2017-12,20174Q,Genesis Mining, SchindlerAM Ventures,,,,,,
Datum,"Apps, Cryptocurrency, Financial Services, FinTech, Internet of Things, Marketplace","Zug, Zug, Switzerland",10000000.0,Initial Coin Offering,10000000.0,,,2017.0,2017-10,20174Q,,,,,,,,
Tezos,"Computer, Security","San Francisco, California, United States",232000000.0,Initial Coin Offering,232000000.0,,10.0,,2017-07,20173Q,Alexis Berthoud, Boost VC, Dalma Capital, James Sowers, Limitless Crypto Investments,San Francisco Bay Area, West Coast, Western US
Tech Bureau,"Cryptocurrency, FinTech, Security","Osaka, Osaka, Japan",767500.0,Venture - Series Unknown,767500.0,,9.0,2014.0,2017-11,20174Q,Hiroshima Venture Capital, Infoteria Corporation, JAFCO Japan, OKWave, Shinsei Bank,Asia-Pacific (APAC),,
ThreatBook,"Business Intelligence, Cyber Security, Network Security","Beijing, Beijing, China",18402009.0,Series B,18402009.0,Early Stage Venture,4.0,2015.0,2017-09,20173Q,China Soft Capital, Hillhouse Capital Group, Microsoft Accelerator Beijing, Northern Light Venture Capital,,Asia-Pacific (APAC),,
Aventus Systems,"Blockchain, Open Source, Ticketing","London, England, United Kingdom",20000000.0,Initial Coin Offering,20000000.0,,1.0,2016.0,2017-09,20173Q,Global Advisors Bitcoin Investment Fund,,,,,European Union (EU),,
Next Caller,"Call Center, Computer, Machine Learning, Network Security, Telecommunications","New York, New York, United States",5000000.0,Series A,5000000.0,Early Stage Venture,11.0,2012.0,2017-08,20173Q,CRCM Ventures, Pegasus Tech Ventures, TSVC, Wefunder, Y Combinator,Greater New York Area, East Coast, Northeastern US
SpankChain,"Adult, Blockchain, Cryptocurrency, Ethereum","Venice, California, United States",6000000.0,Initial Coin Offering,6000000.0,,,2017.0,2017-10,20174Q,,,,,,Greater Los Angeles Area, West Coast, Western US
mPrest,"Information Technology, Medical, Security, Software, Telecommunications","Petah Tiqva, HaMerkaz, Israel",10000000.0,Series B,10000000.0,M&A,4.0,2003.0,2017-10,20174Q,GE Ventures, OurCrowd, QB1 Ventures, Vector Ltd,,,,
Aave,"Blockchain, Ethereum, Financial Services, FinTech, Gaming, Lending, Open Source, Payments, Peer to Peer","Chiasso, Ticino, Switzerland",16500000.0,Initial Coin Offering,16500000.0,,,2017.0,2017-11,20174Q,,,,,,,,
Golem Factory GmbH,"Cryptocurrency, Information Services, Information Technology, Software","Warsaw, Mazowieckie, Poland",8600000.0,Initial Coin Offering,8600000.0,,4.0,,2017-12,20174Q,Continue Capital, Dean Patrick, James Sowers, Julian Sarokin,,European Union (EU),,
PacketSled,"Analytics, Big Data, Cyber Security, Data Visualization, Internet of Things, Security","San Diego, California, United States",3500000.0,Series A,3500000.0,Early Stage Venture,3.0,2012.0,2017-10,20174Q,Blu Venture Investors, JHS Ventures, Keshif Ventures,,,Greater San Diego Area, West Coast, Western US
ATLANT,"Blockchain, FinTech, Real Estate, Software","London, England, United Kingdom",6000000.0,Non-equity Assistance,,,,2017.0,2017-08,20173Q,,,,,,European Union (EU),,
Interface Security Systems,"Analytics, Energy Management, Internet, Retail Technology, Security, VoIP","Plano, Texas, United States",125000000.0,Private Equity,125000000.0,Private Equity,4.0,1995.0,2017-08,20173Q,Bregal Sagemount, Imperial Capital, Prudential Capital Partners, SunTx Capital Partners,,Dallas/Fort Worth Metroplex, Southern US,
NanoLock Security Ltd,"Computer, Cyber Security, Internet of Things, Software","Nitsané Oz, HaMerkaz, Israel",4500000.0,Venture - Series Unknown,4500000.0,,2.0,2016.0,2017-10,20174Q,ATOORO FUND, Awz HLS Investment Fund I LP,,,,,,
MinerEye,"Artificial Intelligence, Compliance, Cyber Security, Security","Hod Hasharon, HaMerkaz, Israel",3600000.0,Seed,3600000.0,Seed,3.0,2014.0,2017-08,20173Q,Awz HLS Investment Fund I LP, Marius Nacht, Microsoft ScaleUp Tel Aviv,,,,,
SaferVPN,"Cyber Security, Internet, Network Security, Private Social Networking, Software","New York, New York, United States",1000000.0,Venture - Series Unknown,1000000.0,,,2013.0,2017-08,20173Q,,,,,,Greater New York Area, East Coast, Northeastern US
CM.com,"Developer APIs, Enterprise Software, Identity Management, Messaging, Mobile, Mobile Payments, Security, SMS, Telecommunications","Breda, Noord-Brabant, The Netherlands",11756199.0,Debt Financing,,,1.0,1999.0,2017-12,20174Q,European Investment Bank (EIB),,,,,European Union (EU),,
DOVU,"Blockchain, Cryptocurrency, Smart Cities, Transportation","Bristol, Bristol, City of, United Kingdom",6000000.0,Initial Coin Offering,6000000.0,,2.0,2016.0,2017-10,20174Q,Creative England, InMotion Ventures,,,,European Union (EU),,
1World Online,"Analytics, Big Data, Blockchain, Cryptocurrency, Enterprise Software, Market Research, Mobile, Software","Palo Alto, California, United States",10800000.0,Initial Coin Offering,10800000.0,,9.0,2011.0,2017-11,20174Q,Bennett Coleman and Co Ltd, Brand Capital, DEFTA Partners, Keiretsu Forum Northwest, Nest,San Francisco Bay Area, Silicon Valley, West Coast
Gladius,"Cyber Security, Enterprise Software, Network Security, SaaS, Software, Virtualization","Washington, District of Columbia, United States",20000000.0,Initial Coin Offering,20000000.0,,,2017.0,2017-09,20173Q,,,,,,Washington DC Metro Area, Southern US,
BlockApps,"Bitcoin, Blockchain, Developer APIs, Developer Platform, Developer Tools, Enterprise, Ethereum","Brooklyn, New York, United States",3121905.0,Convertible Note,,,5.0,2015.0,2017-11,20174Q,Arab Angel Fund, GINCO Investments, Kenetic, MindWorks Ventures, Social Starts,Greater New York Area, East Coast, Northeastern US
ScaleFT,"Cloud Computing, Infrastructure, Security","San Francisco, California, United States",2000000.0,Seed,2000000.0,M&A,7.0,2015.0,2017-07,20173Q,Fathom Capital, Fuel Capital, Graham Weston, Rackspace, S28 Capital,San Francisco Bay Area, West Coast, Western US
Unnax,"Financial Services, FinTech, Identity Management, Intelligent Systems, Payments","Barcelona, Catalonia, Spain",1759935.0,Series A,1759935.0,Early Stage Venture,2.0,2015.0,2017-10,20174Q,Keyword Venture Capital, Swanlaab Venture Factory,,,,European Union (EU),,
WADIZ,"Crowdfunding, Information Technology, Security","Bundangdong, Kyonggi-do, South Korea",11000000.0,Venture - Series Unknown,11000000.0,,5.0,2012.0,2017-09,20173Q,Korea Investment Partners, L&S Venture Capital, Shinhan Bank, Smilegate Investment, Stic Investment,Asia-Pacific (APAC),,
Populous World,"Blockchain, Financial Services, FinTech, Information Technology, Internet, Lending","London, England, United Kingdom",10000000.0,Venture - Series Unknown,10000000.0,,,2015.0,2017-08,20173Q,,,,,,European Union (EU),,
Secucloud GmbH,"Cloud Computing, Cloud Security, Cyber Security, Mobile, Network Security","Hamburg, Hamburg, Germany",5904414.0,Series B,5904414.0,Early Stage Venture,2.0,2013.0,2017-10,20174Q,Heilemann Ventures, Sonae IM,,,,European Union (EU),,
EverythingBenefits,"Business Information Systems, Compliance, Employee Benefits, Enterprise Software, Health Insurance, Human Resources, Information Technology, Insurance, Software","New Providence, New Jersey, United States",4000000.0,Series A,4000000.0,Early Stage Venture,,2015.0,2017-08,20173Q,,,,,,Greater New York Area, East Coast, Northeastern US
BitClave,"Blockchain, Cryptocurrency, FinTech, Information Technology, Internet, Search Engine","Mountain View, California, United States",25500000.0,Initial Coin Offering,25500000.0,,1.0,2016.0,2017-11,20174Q,Alexis Berthoud,,,,,San Francisco Bay Area, Silicon Valley, West Coast
Entrupy,"Enterprise Software, Hardware, Security, Software","New York, New York, United States",2600000.0,Series A,2600000.0,Early Stage Venture,3.0,2012.0,2017-07,20173Q,Daiwa Securities Group, DG Lab Fund, Zach Coelius,,,Greater New York Area, East Coast, Northeastern US
Pillar Project,"Blockchain, Cryptocurrency, Open Source","London, England, United Kingdom",21000000.0,Initial Coin Offering,21000000.0,,,2017.0,2017-07,20173Q,,,,,,European Union (EU),,
SwissBorg,"Blockchain, Communities, Financial Services, Wealth Management","Lausanne, Vaud, Switzerland",11093182.0,Initial Coin Offering,11093182.0,,,2017.0,2017-12,20174Q,,,,,,,,
SMART VALOR,"Blockchain, Cryptocurrency, Finance, Financial Services","Zug, Zug, Switzerland",1510122.0,Seed,1510122.0,Seed,3.0,2017.0,2017-11,20174Q,Denis Shulakov, Marius Messerli, Markus Rinderer,,,,,
SyncFab,"B2B, Bitcoin, Blockchain, Clean Energy, Cryptocurrency, E-Commerce Platforms, Ethereum, Industrial Automation, Manufacturing, Supply Chain Management","San Leandro, California, United States",295000.0,Seed,295000.0,Seed,,2013.0,2017-10,20174Q,,,,,,San Francisco Bay Area, West Coast, Western US
Cynny,"Artificial Intelligence, Blockchain, Digital Marketing, Digital Media, Facial Recognition, Human Computer Interaction, Information Technology, Video Advertising","Firenze, Toscana, Italy",2522925.0,Undisclosed,2522925.0,,1.0,2013.0,2017-12,20174Q,EASME - EU Executive Agency for SMEs,,,,,European Union (EU),,
CyberMiles,"Blockchain, E-Commerce Platforms, Information Technology, Internet","Central, Hong Kong Island, Hong Kong",30000000.0,Initial Coin Offering,30000000.0,,,2017.0,2017-11,20174Q,,,,,,Asia-Pacific (APAC),,
SignalFrame,"Business Intelligence, Identity Management, Internet of Things, Location Based Services, Machine Learning","Washington, District of Columbia, United States",6200000.0,Series A,6200000.0,Early Stage Venture,4.0,2013.0,2017-10,20174Q,American Family Ventures, Blazar Ventures LLC, PJC, PROOF.VC,,Washington DC Metro Area, Southern US,
Picus Security,"Cyber Security, Enterprise Software, Security","San Francisco, California, United States",2000000.0,Seed,2000000.0,Seed,5.0,2013.0,2017-10,20174Q,ACT Venture Partners, Melih Odemis, ScaleX Ventures, Social Capital, Steve Ciesinski,San Francisco Bay Area, West Coast, Western US
Monetha,"Blockchain, Financial Services, Information Technology, Payments","Zug, Zug, Switzerland",37000000.0,Initial Coin Offering,37000000.0,,,2017.0,2017-08,20173Q,,,,,,,,
Conjoule,"Blockchain, Energy, Information Technology","Essen, Nordrhein-Westfalen, Germany",5128427.0,Series A,5128427.0,Early Stage Venture,2.0,2017.0,2017-07,20173Q,Innogy Innovation Hub, Tokyo Electric Power,,,,European Union (EU),,
Maicoin,"Bitcoin, Finance, FinTech","Palo Alto, California, United States",4695045.0,Seed,4695045.0,Seed,7.0,2013.0,2017-09,20173Q,Amasia, Charlie Lee, Infinity Ventures, TSVC, ZhenFund,San Francisco Bay Area, Silicon Valley, West Coast
Babban Gona,"Agriculture, Farming, Financial Services, Network Security, Training","Lagos, Lagos, Nigeria",4000000.0,Debt Financing,20000000.0,,1.0,2012.0,2017-07,20173Q,FMO,,,,,,,
Everex One,"Blockchain, Financial Services, Information Technology","Singapore, Central Region, Singapore",26000000.0,Initial Coin Offering,26000000.0,,1.0,2016.0,2017-09,20173Q,Holley Group,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
VIDA,"Cloud Security, Cyber Security, Internet, Privacy, Security","New York, New York, United States",2000000.0,Seed,2000000.0,Seed,3.0,2014.0,2017-10,20174Q,Brooklyn Bridge Ventures, Red Sea Ventures, Red Swan Ventures,,,Greater New York Area, East Coast, Northeastern US
@RISK Technologies,"Artificial Intelligence, Big Data, Cyber Security, Finance, Machine Learning, SaaS","Dallas, Texas, United States",4300000.0,Angel,4300000.0,Seed,1.0,2017.0,2017-10,20174Q,Darin Brannan,,,,,Dallas/Fort Worth Metroplex, Southern US,
Nayuta,"Blockchain, Electrical Distribution, Electronics, Manufacturing","Fukuoka, Fukuoka, Japan",1280427.0,Seed,1280427.0,Seed,1.0,,2017-08,20173Q,JAFCO Japan,,,,,Asia-Pacific (APAC),,
COBINHOOD,"Computer, Cryptocurrency, Finance, Software","Taipei, T'ai-pei, Taiwan",12764974.0,Seed,12764974.0,Seed,1.0,,2017-09,20173Q,Infinity Ventures,,,,,Asia-Pacific (APAC),,
CSI,"Cloud Management, Cyber Security, Enterprise Software, Information Technology","Glasgow, Glasgow City, United Kingdom",46842490.0,Venture - Series Unknown,46842490.0,M&A,2.0,1983.0,2017-08,20173Q,Blackhawk Capital, MML Capital Partners,,,,European Union (EU),,
Sedicii,"Compliance, Cyber Security, FinTech, Fraud Detection, Identity Management, Security","Waterford, Waterford, Ireland",1252271.0,Seed,1252271.0,Seed,3.0,2013.0,2017-09,20173Q,EASME - EU Executive Agency for SMEs, Enterprise Ireland, Oxygen Accelerator,,,European Union (EU),,
Mavatar,"Affiliate Marketing, Big Data, Blockchain, E-Commerce, Marketplace, PaaS, Retail Technology","Menlo Park, California, United States",1600000.0,Initial Coin Offering,1600000.0,,12.0,2011.0,2017-12,20174Q,Chris Kelly, Collinstar Capital, Jillian Manus, Mike Walsh, Pepper Hamilton,San Francisco Bay Area, Silicon Valley, West Coast
BitBounce,"Cryptocurrency, Email, Software","Redwood City, California, United States",12500000.0,Initial Coin Offering,12500000.0,,4.0,2014.0,2017-08,20173Q,James Sowers, Reid Dennis, Stewart Dennis, Tim Draper,,San Francisco Bay Area, Silicon Valley, West Coast
Modifi,"Industrial Automation, Internet of Things, Mobile, Security","Bainbridge Island, Washington, United States",1000000.0,Venture - Series Unknown,1000000.0,,,2014.0,2017-09,20173Q,,,,,,Greater Seattle Area, West Coast, Western US
Doky Inc,"Cloud Computing, Cloud Security, Digital Marketing, Digital Media, Email, Network Security, SaaS, Security, Virtualization","Palo Alto, California, United States",500000.0,Debt Financing,,Seed,4.0,2015.0,2017-09,20173Q,Francesco Tripepi, Fyrfly Venture Partners, Scott Booth, Silicon Valley Bank,,San Francisco Bay Area, Silicon Valley, West Coast
Nuco,"Blockchain, Enterprise Software, Information Technology, Software, Software Engineering","Toronto, Ontario, Canada",21579163.0,Series A,21579163.0,Early Stage Venture,3.0,2016.0,2017-10,20174Q,Bessemer Venture Partners, Plug and Play, XDL Capital Group,,,Great Lakes,,
LALA WORLD,"Banking, Blockchain, Cryptocurrency, Financial Services, FinTech","Singapore, Central Region, Singapore",2000000.0,Series A,2000000.0,Early Stage Venture,,2017.0,2017-10,20174Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
modum,"Blockchain, Cryptocurrency, Internet, Virtual Currency","Zürich, Zurich, Switzerland",4200000.0,Initial Coin Offering,4200000.0,,2.0,2016.0,2017-09,20173Q,Andreas Schwartz, Kickstart Accelerator,,,,,,
Tortuga logic,"Cyber Security, Information Technology, Security, Semiconductor","San Jose, California, United States",2000000.0,Seed,2000000.0,Seed,4.0,2014.0,2017-11,20174Q,Eclipse Ventures, EvoNexus, National Science Foundation, Phystech Ventures,,San Francisco Bay Area, Silicon Valley, West Coast
Curisium,"Blockchain, Health Care, Software","Manhattan Beach, California, United States",3500000.0,Seed,3500000.0,Seed,5.0,2017.0,2017-12,20174Q,Flare Capital Partners, Green Bay Ventures, New Enterprise Associates, Sanofi-Genzyme BioVentures, Shuttle Fund,Greater Los Angeles Area, West Coast, Western US
